permno,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
10028,,,,,,,,-0.208191916,,,,,,,,,,-0.111111075,,,,,,,,,,,,0.8055554032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.09172934 0.09172934],,,,,,,,,,,,,,,,
10044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0548570901,,-0.064903833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.068478875,,,,,,,,,,
10180,,,,,,,,,,,,,,,,,,,,,,,0.0284857657,,,,,,0.5259258747,,,,0.3148788214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10182,,,,,,,,,,,,,,,,,,,0.0157087296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.088252194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10253,0.3813813925,,,-0.091666676,,,,,,,,,,,,,,,,,,,,-0.244742319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.287280768,-0.05692305,,,
10257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.121212125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10258,,,,,,,,,,,,,,,,,,,,0.0795698315,,,,,,,,-0.256097555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10259,,,,-0.00800003,,,,,,,,,,,,,,-0.016129017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.053042147,,[0.0547576 0.0547576],,,,,,,,,,,,,,,,,
10363,,,,,,,,,,,,,,0.4668988585,,,,,,,-0.180327863,,,-0.158448741,,-0.090409309,-0.134989932,,,,-0.17317313,,,-0.159740284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10463,,,-0.166666657,,,,,-0.063492097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501,-0.05382064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1799999475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,,,,,,,,,0.0740740746,,,,,,,,,,,0.4435484111,,,,,,,,,,,,,,,,,,0.1972041875,,,,,,,,,,-0.176767677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074698746,,,,,,,,,,,,,,,,,,,,
10645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.145925939,,,,,,,,,,,,,,,
10649,,,,,,,-0.074934036,,,,,,,,,,,,,,,,,,,,,,0.1195521653,,,,,,,,,,-0.223680899,,,,,,,,,,,,,,,,,,0.2862452865,,,,,,,,,,,,,,,,,,,,,,,,,,,
10656,,,,,,,,,,,,-0.020263877,,,,,,,,,-0.316265047,,,-0.481481493,,-0.806115687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10661,-0.069767483,0.0375000238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10779,,0.0202020984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09302327,0.0,,,,,,,,,,,,-0.025559157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10812,,,,,,,,,,,,,,,-0.077356592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10838,,,,,,,,,,,,,,,,,-0.218934909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3789407015,0.069266066,,,,,,[0.03780379 0.03780379],,,,,,,,,,,,,,,,,,,,,,,,,,
10886,,,0.0140844937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.178571433,,0.2543859482,,,0.1384615898,,,,,,,,0.049382668,,,,0.208754167,,,-0.030716775,,,,[0.36383444 0.36383444],-0.084664568,-0.270506144,,,,,,,,,,,,,,,,,,,,,,0.4311719537,
10901,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.01343132 -0.01343132],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0613362342,,,,,,,,,,,,,,,,,,,,,,,,,,
10966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7420213223,
11018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0892193615,,[0.02889667 0.02889667],,,,,,,,
11043,,0.1340751946,-0.056470625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11154,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011640175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1039626896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.075716212,,,,,,,,,,,,,,,,,,,,
11343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0422392,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368,,,,,,,,0.0446154065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11379,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0476190746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11394,,,,,,,,,,,,,,,,,-0.685394764,,,,,,0.1389474273,,,,,,,,,,,,,,,,,,,,,,,,,-0.160642609,0.6315790415,,,,,,,,,,,,,,,,,,,,,,,,0.150000006,,-0.186335444,,,,,,,,,
11441,,,,,,,,,,,,,0.0909090787,,,,,,,,,,,-0.169230759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11499,,,,,,,,,,,,,,,,,,,,,,,,,,0.1075581014,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0452054664,,,,,-0.022727251,,,,,,,,,,,,,,,,,,,,,,,,,,
11511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.41584155 0.41584155],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0824723914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11593,,,,,,,,,,,,,,,,,,,,,,,,-0.065217413,,,,,,,,,,,,,,,,,,,,,,,0.215478003,0.0424469598,,,,,,,,,,,,,,,,,,-0.044324908,-0.081560291,,,,0.0383999646,,,[-0.02912622 -0.02912622],-0.109999999,,,,,,,,,
11644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7512691617,,-0.180344447,,,,,,,,,,,,,,,,,,,,,,,,,
11664,,,,,,0.0487206578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1864896566,-0.003163027,,,0.0284022279,,,,,0.1245115623,,,,,,,,,,,,,,,,,,,,,,,,
11731,,,,,,,,,0.0740672201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11750,,,,,,0.0367647298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0397195294,,,,,,,,,,,,,,,,,,,,,,,,,,
11825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0171004087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11884,,,,,,,,,,0.1224242225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11995,,,,,,,,,,,,,-0.058022812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125146091,,0.3808014095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12009,,,-0.070349902,,-0.14051789,,,,,,,,,,,-0.0252466,,,,,,-0.259596914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.080555551,0.2537764907,,0.1828571111,,,,,0.1100000143,,[0.26642337 0.26642337],,,,,,,,,,,,,,,,[0.57446814 0.57446814],-0.13682431,,,-0.05725966,
12017,,,,,,,,,,,,,,,,,,,,,-0.13673231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.125542179,,,,,,-0.135286495,,,,,0.5657895803,
12049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.182170555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12078,,,,,,,,,,,,,,,,,,,,,,-0.009230761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12166,,,,,,,-0.037837878,,,,,,,,,,0.0361445993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-0.090909109,,,,-0.318181872,,,,,,
12173,0.0344473049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12189,,,,,,,-0.025889073,,0.0340199433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.08491357 0.08491357],,,,[0.17072368 0.17072368],,,,,,0.0375963412,,,,,,,,,,,,,,,,,,,,,,,,,,,
12190,,0.1694915295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12209,,,,,,,,,,,,,-0.007499993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12266,,1.0186854601,,-0.058715589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12350,0.1733333319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12380,,,,,,,,,,-0.090534933,,,,,,,,,,,,,,,,,,,,,-0.042910449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437,,,,,,,,,,,,,,,,,,,,,,,-0.02661936,,,,,,,,,,,,0.1077349037,,,,-0.526315808,,,,,,,,0.1938997507,0.1934306473,,0.1435582936,,0.2347032577,,,,0.0259631854,,,,,,,,,,[-0.11756568 -0.11756568],,,,,,,,,,,,,,,,,,
12451,,,,,,,,,,,,0.3324503005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12452,,,,,,,,,,,,,,,,,[0.17894582 0.17894582],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12488,,,,,,-0.092150159,-0.187969923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0494363122,-0.077685989,-0.089605734,,,,-0.022670003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12521,,,,,,,-0.03205128,,,,,,,-0.12000002,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8827585578,0.3443223536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12527,,,,,,,,,,,,,,,,,,,-0.075555511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12559,,,,,,,0.0453367755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1182265654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12573,,,,,-0.038461503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12575,,,0.2536585331,,,,,,,2.1914894581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12579,,,0.1287128627,,,,,,,,-0.026614178,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.438356191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12588,,,,,,,,,,,,,,,,[-0.03228478 -0.03228478],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12615,,,,,,,,-0.070055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12640,,,,,,,,,,0.0057803411,,,,,,,,,,,,,,,,,,,-0.018867908,-0.086538441,,,,,,,,,,,,,-0.012658291,,,,,[0.14285716 0.14285716],,,,,,,,,,,-0.161538407,,,,,,,,,,,,,,,,,,,,,,,,,
