permno,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
10158,,,,-0.015267233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1288300604,,,,,,
10180,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.232954532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0345884934,,,,,,,,,,,,,,,,,,,,,,,
10253,,,,,,,,,,-0.204578295,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.130146101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.077825211,,,,,,,,,,,,,,,,,,,,,,
10258,,,,,,,,,,,,,,,,-0.682403445,,,-0.076648131,,-0.101593569,,,,,,,-0.256097555,,,,,0.0047170892,,,,,,,,,,,,,,,,,,,,,,,,0.0254510939,,,,,,,,-0.230114534,,,,,,,,,,,,,,,,,,,
10259,,,,-0.00800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0222494416,,
10355,,,,,,,,,,,,,,,,,,,,,,-0.016431563,,,,,,,,,,,,,,,,,-0.086799987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0182370786,,,,
10363,,,,,,,,-0.150127172,,-0.149051532,,,,,,,,,,,,,,,,,-0.134989932,,,,,,,,0.0973724574,,,,,,,-0.007782094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
